Loss,Acc (%),mAP (%),comet AP,galaxy AP,nebula AP,globular_cluster AP
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
0.4748,95.0,97.1,0.9808,0.9431,0.9909,0.9704
0.4748,95.0,97.1,0.9808,0.9431,0.9909,0.9704,0.5769
