Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),mAP (%),comet AP,galaxy AP,nebula AP,globular_cluster AP
1,0.4201,85.0,0.2105,92.7,97.1,0.9831,0.9413,0.9902,0.9684
2,0.1955,93.2,0.2001,93.0,97.6,0.9880,0.9499,0.9937,0.9704
3,0.1101,96.2,0.2084,93.8,97.6,0.9888,0.9560,0.9865,0.9730
4,0.0655,97.8,0.2006,94.4,97.9,0.9868,0.9575,0.9946,0.9775
5,0.0482,98.4,0.2357,93.4,97.8,0.9864,0.9607,0.9925,0.9704
6,0.0384,98.7,0.2314,93.8,97.8,0.9870,0.9596,0.9955,0.9688
7,0.0326,98.9,0.2419,93.3,97.8,0.9858,0.9549,0.9941,0.9759
8,0.0292,99.0,0.2368,93.8,97.9,0.9854,0.9603,0.9943,0.9741
9,0.0215,99.3,0.2799,93.8,97.5,0.9832,0.9531,0.9938,0.9694
10,0.0252,99.1,0.2628,93.5,97.9,0.9850,0.9623,0.9947,0.9735
11,0.0193,99.4,0.2760,93.3,97.6,0.9857,0.9565,0.9915,0.9707
12,0.0201,99.3,0.2450,93.7,98.1,0.9902,0.9642,0.9954,0.9749
13,0.0238,99.2,0.2349,93.6,98.0,0.9888,0.9632,0.9940,0.9745
14,0.0134,99.6,0.2478,94.5,98.2,0.9881,0.9713,0.9910,0.9757
15,0.0122,99.6,0.2565,93.9,97.9,0.9860,0.9606,0.9967,0.9733
16,0.0180,99.3,0.2834,94.1,97.9,0.9873,0.9611,0.9933,0.9725
17,0.0148,99.5,0.2771,94.1,98.0,0.9859,0.9655,0.9952,0.9729
18,0.0125,99.6,0.3129,93.1,97.8,0.9879,0.9647,0.9899,0.9697
19,0.0160,99.5,0.2858,94.5,98.0,0.9852,0.9645,0.9942,0.9767
20,0.0196,99.4,0.2682,95.0,98.1,0.9888,0.9680,0.9923,0.9768
21,0.0103,99.7,0.2675,94.6,98.1,0.9867,0.9680,0.9921,0.9779
22,0.0121,99.7,0.2895,94.1,97.7,0.9830,0.9612,0.9917,0.9722
23,0.0067,99.8,0.3593,92.4,97.5,0.9821,0.9591,0.9915,0.9680
24,0.0086,99.7,0.3682,93.5,97.1,0.9827,0.9447,0.9905,0.9675
25,0.0163,99.4,0.3060,94.7,98.0,0.9877,0.9732,0.9866,0.9713
26,0.0074,99.8,0.3132,94.5,98.0,0.9883,0.9655,0.9861,0.9803
27,0.0175,99.5,0.3395,94.0,97.7,0.9851,0.9592,0.9894,0.9739
28,0.0143,99.6,0.2693,95.1,97.9,0.9880,0.9632,0.9905,0.9741
29,0.0095,99.7,0.3001,94.4,97.8,0.9840,0.9551,0.9945,0.9775
30,0.0099,99.7,0.2859,94.3,98.1,0.9872,0.9677,0.9910,0.9797
1,0.4306,84.8,0.2480,91.6,96.2,0.9812,0.9162,0.9901,0.9616
2,0.1922,93.4,0.1871,93.1,97.7,0.9861,0.9557,0.9935,0.9742
1,0.6721,84.3,0.5230,92.3,96.6,0.9816,0.9235,0.9900,0.9675
2,0.5083,93.3,0.4949,94.2,97.5,0.9865,0.9513,0.9918,0.9704
3,0.4494,96.3,0.4915,93.6,97.5,0.9853,0.9504,0.9943,0.9684
4,0.4102,98.2,0.4778,94.4,97.5,0.9818,0.9587,0.9934,0.9663
5,0.3867,99.1,0.4681,94.5,97.8,0.9836,0.9579,0.9934,0.9757
6,0.3739,99.5,0.4777,93.9,97.3,0.9854,0.9448,0.9926,0.9683
7,0.3676,99.7,0.4748,95.0,97.1,0.9808,0.9431,0.9909,0.9704
8,0.3686,99.6,0.4829,94.1,96.8,0.9829,0.9399,0.9934,0.9559
9,0.3706,99.3,0.4881,93.6,96.9,0.9779,0.9453,0.9867,0.9660
10,0.3630,99.7,0.4691,94.8,96.9,0.9759,0.9449,0.9913,0.9652
11,0.3591,99.7,0.4733,94.5,96.7,0.9811,0.9440,0.9902,0.9534
