Epoch,box_loss,dfl_loss,Precision,Recall,mAP50,mAP50-95
1,1.766,1.88,0.295,0.283,0.208,0.0974
2,1.703,1.782,0.347,0.306,0.28,0.138
3,1.725,1.789,0.344,0.318,0.247,0.114
4,1.721,1.796,0.387,0.382,0.317,0.16
5,1.663,1.745,0.39,0.386,0.343,0.18
6,1.629,1.717,0.457,0.406,0.369,0.188
7,1.604,1.687,0.447,0.443,0.406,0.211
8,1.586,1.68,0.493,0.456,0.438,0.232
9,1.572,1.656,0.491,0.452,0.431,0.224
10,1.557,1.638,0.523,0.442,0.448,0.238
11,1.547,1.634,0.446,0.473,0.434,0.232
12,1.543,1.626,0.486,0.48,0.458,0.237
13,1.536,1.617,0.469,0.482,0.439,0.239
14,1.523,1.608,0.496,0.476,0.473,0.248
15,1.513,1.606,0.524,0.477,0.481,0.256
16,1.511,1.592,0.538,0.462,0.479,0.254
17,1.502,1.594,0.478,0.476,0.471,0.26
18,1.495,1.583,0.537,0.484,0.493,0.268
19,1.496,1.577,0.503,0.502,0.487,0.264
20,1.491,1.568,0.52,0.504,0.496,0.267
21,1.489,1.572,0.551,0.487,0.501,0.275
22,1.484,1.568,0.544,0.495,0.51,0.278
23,1.479,1.565,0.526,0.488,0.496,0.273
24,1.469,1.561,0.553,0.49,0.505,0.284
25,1.469,1.562,0.53,0.499,0.507,0.28
26,1.46,1.557,0.575,0.504,0.521,0.281
27,1.469,1.552,0.54,0.504,0.514,0.283
28,1.47,1.549,0.557,0.506,0.517,0.286
29,1.461,1.548,0.559,0.517,0.524,0.29
30,1.458,1.537,0.56,0.511,0.527,0.291
31,1.451,1.537,0.559,0.517,0.53,0.288
32,1.447,1.535,0.559,0.519,0.53,0.292
33,1.447,1.529,0.568,0.514,0.53,0.289
34,1.449,1.532,0.574,0.522,0.536,0.301
35,1.45,1.522,0.571,0.516,0.536,0.296
36,1.45,1.526,0.583,0.522,0.54,0.301
37,1.436,1.525,0.58,0.522,0.539,0.304
38,1.429,1.522,0.59,0.519,0.542,0.303
39,1.438,1.519,0.593,0.511,0.546,0.305
40,1.438,1.516,0.591,0.523,0.545,0.306
41,1.423,1.512,0.583,0.524,0.542,0.303
42,1.427,1.512,0.598,0.523,0.547,0.305
43,1.428,1.512,0.597,0.534,0.553,0.307
44,1.427,1.508,0.593,0.534,0.551,0.307
45,1.424,1.508,0.587,0.533,0.548,0.307
46,1.429,1.511,0.589,0.53,0.55,0.311
47,1.424,1.507,0.599,0.525,0.551,0.313
48,1.421,1.505,0.595,0.527,0.552,0.311
49,1.415,1.504,0.595,0.532,0.554,0.312
50,1.415,1.502,0.593,0.539,0.556,0.314
51,1.418,1.499,0.612,0.528,0.559,0.314
52,1.409,1.494,0.606,0.524,0.557,0.315
53,1.411,1.491,0.603,0.534,0.559,0.316
54,1.418,1.495,0.61,0.534,0.56,0.317
55,1.41,1.491,0.599,0.536,0.558,0.318
56,1.406,1.488,0.595,0.539,0.559,0.318
57,1.398,1.488,0.607,0.537,0.561,0.319
58,1.402,1.488,0.604,0.538,0.561,0.318
59,1.402,1.483,0.601,0.54,0.562,0.318
60,1.406,1.482,0.606,0.537,0.562,0.319
61,1.4,1.484,0.608,0.536,0.564,0.32
62,1.411,1.482,0.613,0.533,0.566,0.321
63,1.403,1.478,0.619,0.531,0.567,0.322
64,1.395,1.479,0.622,0.53,0.569,0.323
65,1.392,1.48,0.622,0.532,0.569,0.323
66,1.395,1.475,0.619,0.533,0.569,0.323
67,1.387,1.468,0.615,0.534,0.569,0.323
68,1.391,1.471,0.624,0.531,0.57,0.323
69,1.385,1.469,0.633,0.531,0.572,0.324
70,1.381,1.465,0.629,0.534,0.572,0.324
71,1.388,1.468,0.625,0.537,0.574,0.325
72,1.386,1.47,0.628,0.536,0.575,0.325
73,1.389,1.468,0.633,0.533,0.575,0.326
74,1.384,1.461,0.63,0.535,0.576,0.326
75,1.378,1.461,0.635,0.531,0.576,0.326
76,1.373,1.462,0.639,0.531,0.577,0.327
77,1.372,1.464,0.637,0.531,0.577,0.328
78,1.38,1.457,0.638,0.532,0.578,0.328
79,1.377,1.458,0.632,0.536,0.579,0.328
80,1.372,1.453,0.631,0.536,0.579,0.328
81,1.378,1.458,0.631,0.537,0.579,0.329
82,1.372,1.456,0.632,0.538,0.58,0.329
83,1.366,1.455,0.635,0.539,0.58,0.329
84,1.367,1.454,0.633,0.543,0.581,0.329
85,1.369,1.455,0.64,0.538,0.58,0.329
86,1.371,1.455,0.636,0.542,0.58,0.33
87,1.361,1.45,0.641,0.539,0.581,0.33
88,1.362,1.449,0.638,0.541,0.582,0.33
89,1.369,1.445,0.64,0.539,0.582,0.33
90,1.361,1.444,0.642,0.539,0.583,0.331
91,1.362,1.446,0.641,0.541,0.583,0.331
92,1.361,1.442,0.64,0.541,0.583,0.331
93,1.362,1.444,0.643,0.54,0.583,0.331
94,1.358,1.441,0.646,0.54,0.585,0.331
95,1.364,1.44,0.644,0.542,0.585,0.331
96,1.353,1.438,0.642,0.542,0.584,0.332
97,1.358,1.437,0.645,0.54,0.585,0.332
98,1.36,1.445,0.646,0.54,0.586,0.333
99,1.361,1.438,0.644,0.54,0.586,0.332
100,1.347,1.436,0.644,0.54,0.585,0.333
101,1.339,1.43,0.646,0.54,0.585,0.333
102,1.35,1.432,0.651,0.54,0.586,0.334
103,1.349,1.434,0.652,0.54,0.586,0.334
104,1.343,1.429,0.652,0.539,0.587,0.334
105,1.343,1.43,0.653,0.541,0.587,0.334
106,1.344,1.428,0.655,0.54,0.588,0.335
107,1.336,1.421,0.656,0.54,0.588,0.335
108,1.344,1.427,0.655,0.539,0.589,0.335
109,1.342,1.429,0.653,0.539,0.588,0.336
110,1.328,1.416,0.654,0.539,0.588,0.336
111,1.333,1.426,0.652,0.539,0.588,0.336
112,1.327,1.422,0.655,0.538,0.589,0.336
113,1.328,1.419,0.656,0.538,0.59,0.337
114,1.324,1.415,0.658,0.538,0.591,0.338
115,1.338,1.42,0.657,0.539,0.59,0.338
116,1.321,1.414,0.655,0.541,0.591,0.338
117,1.329,1.416,0.657,0.541,0.591,0.338
118,1.318,1.412,0.659,0.541,0.591,0.338
119,1.329,1.421,0.661,0.541,0.592,0.339
120,1.317,1.412,0.661,0.541,0.592,0.339
121,1.315,1.407,0.659,0.544,0.591,0.339
122,1.327,1.412,0.661,0.542,0.591,0.339
123,1.314,1.41,0.661,0.541,0.591,0.339
