epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2696,1.88593,3.43193,2.06227,0.32145,0.30166,0.23824,0.11247,1.95033,2.58545,2.11456,0.000415813,0.000415813,0.000415813
2,151.433,1.72198,2.23992,1.88855,0.29175,0.38924,0.31343,0.15946,1.84921,2.23737,2.03963,0.000750064,0.000750064,0.000750064
3,217.719,1.67136,2.0318,1.84971,0.36399,0.42981,0.35953,0.1814,1.80312,2.13101,1.96133,0.00100182,0.00100182,0.00100182
4,284.074,1.63282,1.93031,1.80323,0.35268,0.4716,0.39699,0.19875,1.77908,2.03041,1.86268,0.00087875,0.00087875,0.00087875
5,350.301,1.58294,1.82713,1.76398,0.44544,0.49984,0.45972,0.25552,1.66078,1.83828,1.7738,0.000755,0.000755,0.000755
6,416.584,1.54171,1.72356,1.72418,0.45954,0.4928,0.44852,0.22318,1.65156,1.84105,1.7463,0.00063125,0.00063125,0.00063125
7,482.984,1.51119,1.65997,1.68684,0.52639,0.50845,0.52934,0.2848,1.6126,1.69863,1.71341,0.0005075,0.0005075,0.0005075
8,549.382,1.47285,1.5793,1.65452,0.54349,0.52291,0.52593,0.28474,1.60741,1.71665,1.70236,0.00038375,0.00038375,0.00038375
9,615.668,1.45093,1.52783,1.63485,0.59257,0.54396,0.57767,0.3237,1.5359,1.59115,1.65067,0.00026,0.00026,0.00026
10,681.979,1.42003,1.47295,1.60221,0.61443,0.57755,0.60323,0.34177,1.51419,1.53129,1.6307,0.00013625,0.00013625,0.00013625
